task,expert_tc_runtime_sec,source
1,27.22,arXiv:2607.03105 public TensorCircuit reference
2,2.87,arXiv:2607.03105 public TensorCircuit reference
3,2.46,arXiv:2607.03105 public TensorCircuit reference
4,11.83,arXiv:2607.03105 public TensorCircuit reference
5,45.50,arXiv:2607.03105 public TensorCircuit reference
6,26.83,arXiv:2607.03105 public TensorCircuit reference
7,63.80,arXiv:2607.03105 public TensorCircuit reference
8,25.05,arXiv:2607.03105 public TensorCircuit reference
9,13.74,arXiv:2607.03105 public TensorCircuit reference
10,12.44,arXiv:2607.03105 public TensorCircuit reference
11,68.10,arXiv:2607.03105 public TensorCircuit reference
12,6.12,arXiv:2607.03105 public TensorCircuit reference
